rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
5900,0x357f5575c5e8cd947eb7bd674752712d6bbab6c5,27302.44,26262.65,399,False
5901,0x7c68752d19c63930b526c2353322fbc49977fafe,27292.02,13527.06,46,False
5902,0xb8b132b58ddde186fe46038abb90741ca8970692,27287.71,6523.83,35,False
5903,0x98b08d6cacb9f68c5677facffee1818086462483,27254.73,16432.97,8,False
5904,0xdb1bc094497071d6ccb2618e68578af47e8de104,27250.86,11893.75,47,False
5905,0x993b02ee9ff89c3a4c00282e55f59972492b8552,27250.49,10378.39,56,False
5906,0xe5f64bdf34e0b6128c147fedef9694aa0c69102a,27242.49,9192.15,50,False
5907,0xd285c13931c45cf9f0234faf985b8018eda4ab07,27242.23,13833.61,18,False
5908,0x7a41f611539c77450f0359ae1394d77430dc0851,27241.41,9691.7,46,False
5909,0x8d86bccaa700f8aac7eff591e5ebb9dae3e108d1,27239.43,15666.61,37,False
5910,0x38882ba837e92ef2657629a168e1c65fedf760be,27237.99,17499.66,18,False
5911,0x9776178742a1fb6306bd883f8ff5977ed8f7fbc7,27224.83,11143.44,43,False
5912,0xe7c5650137b363655db88e7cf1af1f2ee7680ee4,27220.2,12292.92,45,False
5913,0x790e8a6d067a0dab20de637b38add04f75080e43,27215.01,39606.61,14,False
5914,0xf1d01381c845d83ca873267404476e6fc93ee7d8,27203.13,15276.96,32,False
5915,0x8315ed90890fb88ef4e2443ac9a8ddde43aa8232,27199.31,27.2,3,False
5916,0x317ba01eee877611f6c91bdbdfd2e87d72bdb81c,27197.45,13001.95,41,False
5917,0xa4e3ed2eac7e46131839cf301791240086337716,27187.91,12514.14,21,False
5918,0x63c563bcf685fc21b886c0c6b9655828ec9a6f61,27183.99,35127.06,43,False
5919,0xb49f344156ed30343c8f7def0e8070b0718ba836,27180.75,14107.02,44,False
5920,0x73ab8630e1bbc3c24eedfc6e374d3d958fb85468,27164.8,37119.42,10,False
5921,0x393f84ee6e3de26c38ca0bdcb31fc099c5a050cf,27162.27,12667.01,39,False
5922,0xaf60f9e4755b9e9dcb217fce0c807ac9ac4f79c5,27150.58,27518.56,805,False
5923,0x4d4d1449aecdbe13c11194b81d354f9e6c9087ce,27141.89,30960.87,10,False
5924,0x6d04bfd2f0d6a7fd04ba4309c28f908d5e2d7a5f,27137.73,10093.35,161,False
5925,0x860f89f341189ec85bdff74179c2243eb29cc772,27136.32,24707.38,12,False
5926,0xa937aa82b74ba863e35aae333a6fb2d7a7223325,27134.61,12382.21,36,False
5927,0x32c4a28ee08195b7f5b3237013b3e0f8a879e64e,27132.72,7533.36,40,False
5928,0x2b13ffd617c08109132aa43d8529bf0dc0f303b8,27132.02,12590.83,42,False
5929,0x71e306b8db96260097066fd997092d9c63630c9f,27131.19,14208.16,57,False
5930,0x8fa98081a4904db4d92ad1e816e137cb86cc59c8,27128.88,13530.49,28,False
5931,0xa3137fa1f4d095af8c1549f9e0e8172b31f21f26,27127.29,69185.86,96,False
5932,0xdb405a9ad581a23c68a32b5d5869d4ad5ae73612,27126.65,2360.43,951,False
5933,0x034b55d23788bdcdc4c8bbe38c0d8c9526ecb22b,27121.0,55440.96,10,False
5934,0xc6fbb65815be2ff18e1a0432a225a22ce176eac1,27116.76,10371.86,59,False
5935,0x761718949298e707cfa2a2a29ebe924613b09e8d,27104.74,11193.29,46,False
5936,0xf18a32f5dab6c5cfd5b724814d92d74f0a8817b4,27103.52,10000.83,32,False
5937,0x96ca2a99b83db409e91a89c141710e5a62fd5a71,27093.99,38075.23,183,False
5938,0x873946be30c5e7ae3664382dba9647ec015ba00b,27091.0,13765.98,40,False
5939,0xadf8f343c97a7a2f943c9082607b9bd342b10640,27084.65,10358.03,36,False
5940,0xa815f590e64fa64d417df72c581a32f5ff449cbe,27077.84,67.7,2030,False
5941,0x154640ba0d3f31fc746c07ed00b63f9725b55cdc,27072.6,8273.56,31,False
5942,0xc7223181ff11a0918f1e1c55718efee5e0b0719d,27067.0,7345.84,50,False
5943,0x8367fd77aa2552f465bad943a0ca59af397354e9,27065.29,8865.63,39,False
5944,0x2c5375139388a6ba2e8373448e30378146e555e6,27063.29,9981.45,65,False
5945,0x862f192a3fef678fe55428d6820f853e7e9a14f0,27059.18,18347.15,10,False
5946,0x711e48917602d5d22028cb8824bd89898a5737e2,27057.78,12732.25,32,False
5947,0x34ef880c309da769bb87f701dee4a8308ed648ff,27054.0,54.0,4,False
5948,0x1e7662687c09b1034152cc1f8ae0988fe3ea47fa,27050.18,1041.43,2507,False
5949,0x3dca854f147d9b9ecc56d37800f36b347ce23c13,27046.0,14931.06,212,False
5950,0x394cea8b4d7490245b4f6230dff891dec3e8d3d6,27042.19,9553.01,35,False
5951,0x263b96494dbc9d61f5968ec618b3209be5e80200,27042.18,13141.79,35,False
5952,0xce78600931d3d661d782e9cffb4b2749e37c5ac4,27040.28,15753.77,33,False
5953,0xb47d7dc304f614c422fb42ef37e5aadde9d23b31,27035.74,12864.32,46,False
5954,0xb67a0d6343a1003d59c4f891a3402e4949968c7f,27026.0,27.0,6,False
5955,0x27feed6dc2d024a9547f75a855f765efa841a4bd,27016.14,12584.15,37,False
5956,0x2897f1c47d02ab17f3fa1cecd897f868da27a659,27008.04,14359.34,20,False
5957,0x966cd33d0b664376079974b25f6e7a752f514d92,27007.47,0,1,True
5958,0xce0701ce8e671f73dbe80525456be63bd69dc79f,26996.77,8665.99,56,False
5959,0xaa34cf82c98f06db5cd41ffc0a8a4bda1a05523a,26988.89,14244.79,30,False
5960,0x888e41fff93b0122598d53b51813cf98fc86153a,26976.79,13062.7,25,False
5961,0x0af213ea83a1e1c881039dab97262f8b07a1de45,26964.4,14596.95,24,False
5962,0x3b96698e432115a3e69e1419f0608e4e1da5043e,26951.88,9576.24,41,False
5963,0x88367a0a74087fa46cdcd30a2d64865a5a2f4eb4,26951.11,8642.27,49,False
5964,0xdfd09d1827d372fcd87d96b5e4de5809f639f477,26940.49,13195.54,44,False
5965,0xf66e16c392277de6d13b95e32fe843f50cf27dcc,26939.15,22655.12,285,False
5966,0x769c305c2690f578755d45bd2131cffd1682121c,26938.96,7041.44,39,False
5967,0x16c5d391860ad031e10aa4fb111550b50fe3aa69,26915.91,17006.87,33,False
5968,0x1048279e5ae321adc2941a93351453d1cc36208a,26901.0,9961.19,40,False
5969,0x1296e7828536611f0c2b328ca61ee9da321a902e,26895.88,11965.74,25,False
5970,0x099974905080316d7c31d5ede780f16bb00edd96,26889.03,30671.28,1031,False
5971,0x71421cb46a4d6cc4719f6e28cf2f0efa372de23e,26886.7,13245.12,28,False
5972,0x1d29e3e5b54feb09d1ad19beb9e08b43ea3d5c27,26884.21,8123.04,239,False
5973,0xa103bf4079f11a669290e7defe7f22b98cf42426,26880.0,42000.0,1,False
5974,0x18bcc1c8505417c3efc10b37bd20d5da6e818ba0,26878.97,26878.97,1,False
5975,0xce7a44e7feb1a059181c4a0d79c9baa06766b83f,26877.99,7847.6,41,False
5976,0x4117eeec5bdc56c829399564711327b04e378cd4,26873.85,26.85,6,False
5977,0xd14650532e11324cdaca20f45666486c24679bf0,26870.12,12051.58,232,False
